	participant	target	time	age	gender	glasses			
1171	6	1	6,249	13	m	FALSE	81,237		
1172	6	2	5,03	13	m	FALSE	65,39		
1173	6	7	8,063	13	m	FALSE	104,819		
1174	6	0	2,349	13	m	FALSE	30,537		
1175	6	8	4,148	13	m	FALSE	53,924		
1176	6	7	2,333	13	m	FALSE	30,329		
1177	6	6	11,377	13	m	FALSE	147,901		
1178	6	2	6,848	13	m	FALSE	89,024		
1179	6	6	3,815	13	m	FALSE	49,595		
1180	6	5	2,367	13	m	FALSE	30,771		
1181	6	4	2,365	13	m	FALSE	30,745		
1182	6	7	3,55	13	m	FALSE	46,15		
1183	6	2	8,645	13	m	FALSE	112,385		
1184	6	5	4,148	13	m	FALSE	53,924		
1185	6	1	16,428	13	m	FALSE	213,564		
1186	6	8	7,146	13	m	FALSE	92,898		
1187	6	0	3,549	13	m	FALSE	46,137		
1188	6	5	8,962	13	m	FALSE	116,506		
1189	6	2	15,527	13	m	FALSE	201,851		
1190	6	4	2,383	13	m	FALSE	30,979		
1191	6	8	2,947	13	m	FALSE	38,311		
1192	6	0	2,316	13	m	FALSE	30,108		
1193	6	5	8,081	13	m	FALSE	105,053		
1194	6	3	5,648	13	m	FALSE	73,424		
1195	6	5	3,248	13	m	FALSE	42,224		
1196	6	2	2,333	13	m	FALSE	30,329		
1197	6	6	2,333	13	m	FALSE	30,329		
1198	6	7	3,548	13	m	FALSE	46,124		
1199	6	8	6,581	13	m	FALSE	85,553		
1200	6	3	2,315	13	m	FALSE	30,095		
1201	6	2	2,366	13	m	FALSE	30,758		
1202	6	7	3,566	13	m	FALSE	46,358		
1203	6	1	2,615	13	m	FALSE	33,995		
1204	6	3	2,348	13	m	FALSE	30,524		
1205	6	8	2,365	13	m	FALSE	30,745		
1206	6	2	6,565	13	m	FALSE	85,345		
1207	6	1	2,333	13	m	FALSE	30,329		
1208	6	6	3,532	13	m	FALSE	45,916		
1209	6	4	2,366	13	m	FALSE	30,758		
1210	6	2	2,35	13	m	FALSE	30,55		
1211	6	8	3,565	13	m	FALSE	46,345		
1212	6	0	2,931	13	m	FALSE	38,103		
1213	6	7	2,332	13	m	FALSE	30,316		
1214	6	2	2,35	13	m	FALSE	30,55		
1215	6	1	2,366	13	m	FALSE	30,758		
1216	7	7	4,231	9	m	FALSE	38,079		
1217	7	2	2,316	9	m	FALSE	20,844		
1218	7	9	3,865	9	m	FALSE	34,785		
1219	7	8	2,348	9	m	FALSE	21,132		
1220	7	7	4,435	9	m	FALSE	39,915		
1221	7	1	4,778	9	m	FALSE	43,002		
1222	7	2	2,333	9	m	FALSE	20,997		
1223	7	7	2,332	9	m	FALSE	20,988		
1224	7	0	2,399	9	m	FALSE	21,591		
1225	7	8	2,316	9	m	FALSE	20,844		
1226	7	7	2,349	9	m	FALSE	21,141		
1227	7	6	5,931	9	m	FALSE	53,379		
1228	7	2	3,864	9	m	FALSE	34,776		
1229	7	6	2,349	9	m	FALSE	21,141		
1230	7	5	2,332	9	m	FALSE	20,988		
1231	7	4	2,35	9	m	FALSE	21,15		
1232	7	7	8,645	9	m	FALSE	77,805		
1233	7	2	2,366	9	m	FALSE	21,294		
1234	7	5	2,367	9	m	FALSE	21,303		
1235	7	1	2,315	9	m	FALSE	20,835		
1236	7	8	2,334	9	m	FALSE	21,006		
1237	7	0	6,563	9	m	FALSE	59,067		
1238	7	5	14,661	9	m	FALSE	131,949		
1239	7	2	2,333	9	m	FALSE	20,997		
1240	7	4	2,366	9	m	FALSE	21,294		
1241	7	8	2,349	9	m	FALSE	21,141		
1242	7	0	4,132	9	m	FALSE	37,188		
1243	7	5	2,349	9	m	FALSE	21,141		
1244	7	3	3,866	9	m	FALSE	34,794		
1245	7	5	2,332	9	m	FALSE	20,988		
1246	7	2	2,365	9	m	FALSE	21,285		
1247	7	6	2,333	9	m	FALSE	20,997		
1248	7	7	5,649	9	m	FALSE	50,841		
1249	7	8	2,332	9	m	FALSE	20,988		
1250	7	3	2,366	9	m	FALSE	21,294		
1251	7	2	2,349	9	m	FALSE	21,141		
1252	7	7	9,529	9	m	FALSE	85,761		
1253	7	1	3,882	9	m	FALSE	34,938		
1254	7	3	2,35	9	m	FALSE	21,15		
1255	7	8	2,332	9	m	FALSE	20,988		
1256	7	2	2,365	9	m	FALSE	21,285		
1257	7	1	4,664	9	m	FALSE	41,976		
1258	7	6	2,383	9	m	FALSE	21,447		
1259	7	4	2,333	9	m	FALSE	20,997		
1260	7	8	2,365	9	m	FALSE	21,285		
1261	7	2	2,316	9	m	FALSE	20,844		
1262	7	8	2,333	9	m	FALSE	20,997		
1263	7	0	7,48	9	m	FALSE	67,32		
1264	7	7	2,333	9	m	FALSE	20,997		
1265	7	2	2,381	9	m	FALSE	21,429		
1266	7	1	2,334	9	m	FALSE	21,006		
1267	8	7	2,631	11	m	FALSE	28,941		
1268	8	2	2,348	11	m	FALSE	25,828		
1269	8	9	2,372	11	m	FALSE	26,092		
1270	8	8	2,332	11	m	FALSE	25,652		
1271	8	7	2,366	11	m	FALSE	26,026		
1272	8	1	2,35	11	m	FALSE	25,85		
1273	8	2	2,332	11	m	FALSE	25,652		
1274	8	7	2,365	11	m	FALSE	26,015		
1275	8	0	2,333	11	m	FALSE	25,663		
1276	8	8	2,365	11	m	FALSE	26,015		
1277	8	7	2,35	11	m	FALSE	25,85		
1278	8	6	2,333	11	m	FALSE	25,663		
1279	8	2	2,349	11	m	FALSE	25,839		
1280	8	6	3,548	11	m	FALSE	39,028		
1281	8	5	2,366	11	m	FALSE	26,026		
1282	8	4	2,334	11	m	FALSE	25,674		
1283	8	7	2,348	11	m	FALSE	25,828		
1284	8	2	2,365	11	m	FALSE	26,015		
